comment,preprocessed_comment
"Whaley is a pretty good teacher. you really have to understand the concepts to do well, you can't just regurgitate information. the tests were fairly challenging, and you do have to actually study the book and the powerpoints. he offers extra credit, which is helpful. i would definitely take another class from him.","['whaley', 'pretty', 'good', 'teacher', 'really', 'understand', 'concepts', 'well', 'ca', 'nt', 'regurgitate', 'information', 'tests', 'fairly', 'challenging', 'actually', 'study', 'book', 'powerpoints', 'offers', 'extra', 'credit', 'helpful', 'would', 'definitely', 'take', 'another', 'class']"
"This professor was awesome! I had him a few years ago and he was tough, but I learned so much. He taught Biology 1 and 2 when I was preparing for the MCAT and I scored a 14 in Biological sciences. AWESOME. He is passionate about biology and about butterflies, and that passion shows when he teaches. It can be contagious if you will let it!","['professor', 'awesome', 'years', 'ago', 'tough', 'learned', 'much', 'taught', 'biology', 'preparing', 'mcat', 'scored', 'biological', 'sciences', 'awesome', 'passionate', 'biology', 'butterflies', 'passion', 'shows', 'teaches', 'contagious', 'let']"
He is the man! He is so funny and is really helpful. You have to read the book and go to class. At the first of the semester he is kind of strait and blunt with people but as the semester goes on and you keep coming to class he likes you and is even better.,"['man', 'funny', 'really', 'helpful', 'read', 'book', 'go', 'class', 'first', 'semester', 'kind', 'strait', 'blunt', 'people', 'semester', 'goes', 'keep', 'coming', 'class', 'likes', 'even', 'better']"
"Wayne is a great professor.  It has been a while since I have taken any science courses and was a little nervous for this class. If you go to class, take notes, read the chapter at least once and STUDY the STUDY GUIDES you should get an A. I would study about 1-2 hours a day.  Good Luck!","['wayne', 'great', 'professor', 'since', 'taken', 'science', 'courses', 'little', 'nervous', 'class', 'go', 'class', 'take', 'notes', 'read', 'chapter', 'least', 'study', 'study', 'guides', 'get', 'would', 'study', 'hours', 'day', 'good', 'luck']"
"How to do well in his class: read the slides, study the practice tests, do the end of chapter quiz's.  Honestly this was NOT that difficult of a class.  Just don't depend on whaley, go to the study center or make friends in the class","['well', 'class', 'read', 'slides', 'study', 'practice', 'tests', 'end', 'chapter', 'quiz', 'honestly', 'difficult', 'class', 'nt', 'depend', 'whaley', 'go', 'study', 'center', 'make', 'friends', 'class']"
If you like reading the book and getting no help from the professor then Whaley is the teacher for you.  He has been rated for the past 7 years and still has horrible ratings.,"['like', 'reading', 'book', 'getting', 'help', 'professor', 'whaley', 'teacher', 'rated', 'past', 'years', 'still', 'horrible', 'ratings']"
This most worthless class ever. You can tell that Dr. Whaley hates teaching it. He stutters around questions and is generally unhelpful. His class is pretty easy as long as you read the book and go over his practice tests. He gives one in-class quiz at the beginning of the semester but after that don't even bother going to class.,"['worthless', 'class', 'ever', 'tell', 'dr', 'whaley', 'hates', 'teaching', 'stutters', 'around', 'questions', 'generally', 'unhelpful', 'class', 'pretty', 'easy', 'long', 'read', 'book', 'go', 'practice', 'tests', 'gives', 'one', 'inclass', 'quiz', 'beginning', 'semester', 'nt', 'even', 'bother', 'going', 'class']"
"I really don't understand all the negative comments about Doctor Whaley. I find him amiable, humorous, and genuinely knows his material. Sometime he can go off on tangents and forget to answer a question, but overall, I think he is a great professor.","['really', 'nt', 'understand', 'negative', 'comments', 'doctor', 'whaley', 'find', 'amiable', 'humorous', 'genuinely', 'knows', 'material', 'sometime', 'go', 'tangents', 'forget', 'answer', 'question', 'overall', 'think', 'great', 'professor']"
"Before I took a class from Professor Whaley, I loved Biology. This man's style of teaching, or the lack thereof, is completely ridiculous. His lame excuses and patronizing &quot;disscusions&quot; get old very fast. Don't take Bio from Whaley, whatever you do. He is understanding sometimes, but most times, he'll just tell you to &quot;change your major.&quot;","['took', 'class', 'professor', 'whaley', 'loved', 'biology', 'man', 'style', 'teaching', 'lack', 'thereof', 'completely', 'ridiculous', 'lame', 'excuses', 'patronizing', 'quot', 'disscusions', 'quot', 'get', 'old', 'fast', 'nt', 'take', 'bio', 'whaley', 'whatever', 'understanding', 'sometimes', 'times', 'tell', 'quot', 'change', 'major', 'quot']"
"Do not take this class from Whaley! He was no help in letting the class know what would be on the tests, I got better grades when I didn't show up for class on the tests then when I went all the time.  The final was awful and he made no effort to tell us anything that would be on it or tell us what we should study.","['take', 'class', 'whaley', 'help', 'letting', 'class', 'know', 'would', 'tests', 'got', 'better', 'grades', 'nt', 'show', 'class', 'tests', 'went', 'time', 'final', 'awful', 'made', 'effort', 'tell', 'us', 'anything', 'would', 'tell', 'us', 'study']"
"Whaley rocks! He knows his stuff, he's enthusiastic about the topic, and he's always available to help his students. Clearly if you're unwilling to put actual effort into learning you need to choose a different major.","['whaley', 'rocks', 'knows', 'stuff', 'enthusiastic', 'topic', 'always', 'available', 'help', 'students', 'clearly', 'unwilling', 'put', 'actual', 'effort', 'learning', 'need', 'choose', 'different', 'major']"
"Great as a person outside of class, BUT A HORRIBLE TEACHER!! When asked a question, he wouldn't answer, or would expect you to know. Wasn't able to answer his own test questions, test questions were incorrect and from a different book. He is not the teacher for learning Bio.","['great', 'person', 'outside', 'class', 'horrible', 'teacher', 'asked', 'question', 'would', 'nt', 'answer', 'would', 'expect', 'know', 'nt', 'able', 'answer', 'test', 'questions', 'test', 'questions', 'incorrect', 'different', 'book', 'teacher', 'learning', 'bio']"
"If you can't handle East Coast personalities don't take him. Otherwise, he's great, just study!","['ca', 'nt', 'handle', 'east', 'coast', 'personalities', 'nt', 'take', 'otherwise', 'great', 'study']"
"Whaley is a cool guy, and makes his class as easy as possible.  He tells you specifically what will be on his tests, so if you aren't getting an A, it is your own fault.","['whaley', 'cool', 'guy', 'makes', 'class', 'easy', 'possible', 'tells', 'specifically', 'tests', 'nt', 'getting', 'fault']"
"Whaley is a character.  The first three sections I went every day and studied his power points, I got a 67, 72, and a 71. I started going once a week, and studying the book only.  I started getting 90's on his exams.  He was rude to me whenever I went to his office to talk to him.  Stay with the book, you'll be fine.","['whaley', 'character', 'first', 'three', 'sections', 'went', 'every', 'day', 'studied', 'power', 'points', 'got', 'started', 'going', 'week', 'studying', 'book', 'started', 'getting', 'exams', 'rude', 'whenever', 'went', 'office', 'talk', 'stay', 'book', 'fine']"
"Prof. Whaley is very scatterbrained sometimes.  I hardly attended class and got a good grade.  He tests straight from the book (and uses questions from his practice exams).  Whenever I have tried to talk to him he blew me off, demanding to know why I was in his office, and that if I needed something to hurry because he has a &quot;lot to do.&quot;","['prof', 'whaley', 'scatterbrained', 'sometimes', 'hardly', 'attended', 'class', 'got', 'good', 'grade', 'tests', 'straight', 'book', 'uses', 'questions', 'practice', 'exams', 'whenever', 'tried', 'talk', 'blew', 'demanding', 'know', 'office', 'needed', 'something', 'hurry', 'quot', 'lot', 'quot']"
Hard class you have to study like crazy!! Prof. wasn't too bad though.,"['hard', 'class', 'study', 'like', 'crazy', 'prof', 'nt', 'bad', 'though']"
"Dr. Whaley gets a bad rap.  His class is hard, but this is college.  1610 is in the top three hardest biology classes on campus.  Do homework and study!  I studied over 30 hours for the final, but I got an A dangit!.  If you want a free A change your major","['dr', 'whaley', 'gets', 'bad', 'rap', 'class', 'hard', 'college', 'top', 'three', 'hardest', 'biology', 'classes', 'campus', 'homework', 'study', 'studied', 'hours', 'final', 'got', 'dangit', 'want', 'free', 'change', 'major']"
"wasnt helpful, kind of rude and if you dont attend the class make sure you take every test and get a good grade.In class he doesnt talk about whats on the test.beware!","['wasnt', 'helpful', 'kind', 'rude', 'dont', 'attend', 'class', 'make', 'sure', 'take', 'every', 'test', 'get', 'good', 'gradein', 'class', 'doesnt', 'talk', 'whats', 'testbeware']"
"You dont need to print off powerpoints.do pay attention to what he says, sometimes his test questions come from random things in class. there are in class extra credit quizes. help sessions-attend! i recieved a b+ by reading each chapter 3xs. pretty much memorize book. not a bad class tho. if you cant pass this class...change your major!","['dont', 'need', 'print', 'powerpointsdo', 'pay', 'attention', 'says', 'sometimes', 'test', 'questions', 'come', 'random', 'things', 'class', 'class', 'extra', 'credit', 'quizes', 'help', 'sessionsattend', 'recieved', 'b', 'reading', 'chapter', 'pretty', 'much', 'memorize', 'book', 'bad', 'class', 'tho', 'cant', 'pass', 'class', 'change', 'major']"
"HE IS A DEDICATED TEACHER.  GOOD  TO HELP IF YOU ASK FOR HELP, OFFERS HELP SESSIONS.","['dedicated', 'teacher', 'good', 'help', 'ask', 'help', 'offers', 'help', 'sessions']"
"Passionate about his job. Not a horrible teacher. not clear at times but helpful if you ask questions. tests are hard but he grades on a curve. he budges under pressure. you'll most likely get a better grade than expected, I did.","['passionate', 'job', 'horrible', 'teacher', 'clear', 'times', 'helpful', 'ask', 'questions', 'tests', 'hard', 'grades', 'curve', 'budges', 'pressure', 'likely', 'get', 'better', 'grade', 'expected']"
"he speaks another language! He is unorganized, and doesn't answer questions well.","['speaks', 'another', 'language', 'unorganized', 'nt', 'answer', 'questions', 'well']"
I think he gets a bad rap. I liked him for the most part.,"['think', 'gets', 'bad', 'rap', 'liked', 'part']"
"most tests had uncovered material, that wasnt found in book or in lextures. I studied hours for tests and was boarderlinning a C-, the Final wasn't as tough as all the tests, overall this class was hard, i learned alot although my final grade reflected a C+","['tests', 'uncovered', 'material', 'wasnt', 'found', 'book', 'lextures', 'studied', 'hours', 'tests', 'boarderlinning', 'c', 'final', 'nt', 'tough', 'tests', 'overall', 'class', 'hard', 'learned', 'alot', 'although', 'final', 'grade', 'reflected', 'c']"
He might know the material he is teaching but he is terrible at getting that information to me the student. He tells you to remember things that aren't on the tests. If you enjoy teaching yourself biology and wasting time in his class and then teaching yourself through the book you'll LOVE this class. Worst class i have ever taken.,"['might', 'know', 'material', 'teaching', 'terrible', 'getting', 'information', 'student', 'tells', 'remember', 'things', 'nt', 'tests', 'enjoy', 'teaching', 'biology', 'wasting', 'time', 'class', 'teaching', 'book', 'love', 'class', 'worst', 'class', 'ever', 'taken']"
Not a terrible teacher. I thought he was ok. If you think his class was hard and you are a biology major than i would recomend changing majors cause his class was one of the easier classes I had.  He is a little scatter brained but he explains what you need to know,"['terrible', 'teacher', 'thought', 'ok', 'think', 'class', 'hard', 'biology', 'major', 'would', 'recomend', 'changing', 'majors', 'cause', 'class', 'one', 'easier', 'classes', 'little', 'scatter', 'brained', 'explains', 'need', 'know']"
"I really love biology, but Whaley ruined it for me. His tests are ridiculously stupid, he tries to be sneaky, but it just comes across as confusing. I HATED his teaching style, he goes through dozens of powerpoints in a class just reading off of them. It almost seems like he has no idea what he is talking about. I had a very negative experience","['really', 'love', 'biology', 'whaley', 'ruined', 'tests', 'ridiculously', 'stupid', 'tries', 'sneaky', 'comes', 'across', 'confusing', 'hated', 'teaching', 'style', 'goes', 'dozens', 'powerpoints', 'class', 'reading', 'almost', 'seems', 'like', 'idea', 'talking', 'negative', 'experience']"
I learned a lot in his class. He gave fair warning of what would be on his test. If you study the given power points with the text book in hand you will learn the information. If you don't go to class or don't pay attention you will not do well. This is the nature of Biology.,"['learned', 'lot', 'class', 'gave', 'fair', 'warning', 'would', 'test', 'study', 'given', 'power', 'points', 'text', 'book', 'hand', 'learn', 'information', 'nt', 'go', 'class', 'nt', 'pay', 'attention', 'well', 'nature', 'biology']"
"Great teacher.  Tests were not the easiest, but he made sure to cover the material and also made it clear you need to read the chapters or you have no chance.  He is one of the best teachers I have had I would take a class from him for sure","['great', 'teacher', 'tests', 'easiest', 'made', 'sure', 'cover', 'material', 'also', 'made', 'clear', 'need', 'read', 'chapters', 'chance', 'one', 'best', 'teachers', 'would', 'take', 'class', 'sure']"
"He's not the best at explaining stuff so you'll end up reading the book half a dozen times. His tests are l ike passing a kidney stone. seriously. If you are good at learning on your own, i'd recommend him. You'll like the way he puts stuff &quot;best hearing you'll ever hear.&quot; &quot;much more lesser&quot;","['best', 'explaining', 'stuff', 'end', 'reading', 'book', 'half', 'dozen', 'times', 'tests', 'l', 'ike', 'passing', 'kidney', 'stone', 'seriously', 'good', 'learning', 'recommend', 'like', 'way', 'puts', 'stuff', 'quot', 'best', 'hearing', 'ever', 'hear', 'quot', 'quot', 'much', 'lesser', 'quot']"
"His class was hard, i paid good money for a hard class i didn't want an easy A. His lessons were very confusing, it forced me to read the book ahead of him, and in doing so i learned the material very well. From my experience with other biology teachers, he is just as confusing as the rest. I WOULD RECOMEND THIS TEACHER TO PEOPLE WHO ACTUALLY CARE.","['class', 'hard', 'paid', 'good', 'money', 'hard', 'class', 'nt', 'want', 'easy', 'lessons', 'confusing', 'forced', 'read', 'book', 'ahead', 'learned', 'material', 'well', 'experience', 'biology', 'teachers', 'confusing', 'rest', 'would', 'recomend', 'teacher', 'people', 'actually', 'care']"
"Prof. Whaley is an insanely hard teacher. I even heard one of the hardest in the west, and it's very easy to believe. It's a hard course, no doubt, he expects you to study about 2 hrs per hour of class time, and you'll need every minute of it! He's hard but good. Most students who do well in his class go on to do well in the MCATs'.","['prof', 'whaley', 'insanely', 'hard', 'teacher', 'even', 'heard', 'one', 'hardest', 'west', 'easy', 'believe', 'hard', 'course', 'doubt', 'expects', 'study', 'hrs', 'per', 'hour', 'class', 'time', 'need', 'every', 'minute', 'hard', 'good', 'students', 'well', 'class', 'go', 'well', 'mcats']"
"Had alot to expound upon, does get behind and then rushes through to get caught up test were tricky sometimes but was fair.  Can't complain w/ an A-","['alot', 'expound', 'upon', 'get', 'behind', 'rushes', 'get', 'caught', 'test', 'tricky', 'sometimes', 'fair', 'ca', 'nt', 'complain', 'w']"
I didn't really see anything terrible about him. I didn't think his class was that hard.  His tests have some tricky questions but I have had way harder tests than his. He is always willing to help you with whatever you don't understand and is entertaining. His big fault is he is a bit unorganized.,"['nt', 'really', 'see', 'anything', 'terrible', 'nt', 'think', 'class', 'hard', 'tests', 'tricky', 'questions', 'way', 'harder', 'tests', 'always', 'willing', 'help', 'whatever', 'nt', 'understand', 'entertaining', 'big', 'fault', 'bit', 'unorganized']"
His tests are so hard.  I studied like crazy and I still failed this class.  I didn't really go to class because I didn't understand anything that he was teaching because he goes through it so fast.  He just says read it and then you'll understand it.  I wouldn't recommend him.,"['tests', 'hard', 'studied', 'like', 'crazy', 'still', 'failed', 'class', 'nt', 'really', 'go', 'class', 'nt', 'understand', 'anything', 'teaching', 'goes', 'fast', 'says', 'read', 'understand', 'would', 'nt', 'recommend']"
"He has got to be one of the worst teachers ever. The first day in class he says that if you want to do well on his tests that you have to study the text and the CD that comes with it. I took that to mean, &quot;I'm a terrible teacher and won't teach you a thing so your on your own.&quot; I was right.","['got', 'one', 'worst', 'teachers', 'ever', 'first', 'day', 'class', 'says', 'want', 'well', 'tests', 'study', 'text', 'cd', 'comes', 'took', 'mean', 'quot', 'terrible', 'teacher', 'wo', 'nt', 'teach', 'thing', 'quot', 'right']"
"Professor Whaley delights greatly in the dimise of his students. The test on genetics was so unbelievable difficult and excruciating i considered sending hate mail to Dr. Whaley. Its almost that he wants us to learn to fail, rather than learn biology to become med students. Very dissatisfied with his teaching ability.","['professor', 'whaley', 'delights', 'greatly', 'dimise', 'students', 'test', 'genetics', 'unbelievable', 'difficult', 'excruciating', 'considered', 'sending', 'hate', 'mail', 'dr', 'whaley', 'almost', 'wants', 'us', 'learn', 'fail', 'rather', 'learn', 'biology', 'become', 'med', 'students', 'dissatisfied', 'teaching', 'ability']"
"Dr. Whaley cares more about covering the material than helping his studets to understand and learn. He does not answer student questions in a clear way, instead just restating what he said the first time(which caused the confusion in the first place) It almost seems that he wants his students to fail rather than succeed.  He is a horrible professor","['dr', 'whaley', 'cares', 'covering', 'material', 'helping', 'studets', 'understand', 'learn', 'answer', 'student', 'questions', 'clear', 'way', 'instead', 'restating', 'said', 'first', 'time', 'caused', 'confusion', 'first', 'place', 'almost', 'seems', 'wants', 'students', 'fail', 'rather', 'succeed', 'horrible', 'professor']"
"very bad teacher...arrogant, childish, selfish, unclear.  he actually made people in my class feel bad/stupid for asking questions - they wouldn't ask questions again after that. i got an A, you can if the text becomes your best friends and you are willing to put up with a dork/jerk for a teacher and &quot;jump through his hoops.&quot;","['bad', 'teacher', 'arrogant', 'childish', 'selfish', 'unclear', 'actually', 'made', 'people', 'class', 'feel', 'badstupid', 'asking', 'questions', 'would', 'nt', 'ask', 'questions', 'got', 'text', 'becomes', 'best', 'friends', 'willing', 'put', 'dorkjerk', 'teacher', 'quot', 'jump', 'hoops', 'quot']"
"Worst teacher at UVSC. I have had some bad ones, but he truly does not care about helping his students. I saw too many poor kids get torn a new one for asking something in class. Steer clear of this one if you want to get what you pay for with your tuition.","['worst', 'teacher', 'uvsc', 'bad', 'ones', 'truly', 'care', 'helping', 'students', 'saw', 'many', 'poor', 'kids', 'get', 'torn', 'new', 'one', 'asking', 'something', 'class', 'steer', 'clear', 'one', 'want', 'get', 'pay', 'tuition']"
"Personally I like Whaley and his teaching methods.  He does make you work HARD for your grade though - I was taking 14 credits and studied about 50% of the time for his class.  I got a B in his class and an A in all my other classes.  Good news is, he really teaches you EVERYTHING in detail.","['personally', 'like', 'whaley', 'teaching', 'methods', 'make', 'work', 'hard', 'grade', 'though', 'taking', 'credits', 'studied', 'time', 'class', 'got', 'b', 'class', 'classes', 'good', 'news', 'really', 'teaches', 'everything', 'detail']"
No Comments,['comments']
"This teacher sucks big time. He's probably the worst teacher i've ever had. Like everyone else said, it would be easier for you to read the book and do it on your own. He's very easy though.","['teacher', 'sucks', 'big', 'time', 'probably', 'worst', 'teacher', 'ever', 'like', 'everyone', 'else', 'said', 'would', 'easier', 'read', 'book', 'easy', 'though']"
"Many people have told me that they are sorry for me when I tell them I have Whaley for bio. I don't see why I think he is fair and is teaching at the level he should. He always asks if anyone has any questions. Somewhat frantic teaching methods, but entertaining. I would take him again.","['many', 'people', 'told', 'sorry', 'tell', 'whaley', 'bio', 'nt', 'see', 'think', 'fair', 'teaching', 'level', 'always', 'asks', 'anyone', 'questions', 'somewhat', 'frantic', 'teaching', 'methods', 'entertaining', 'would', 'take']"
Whaley is a good professor.  I had a wonderful time in his class.  He helped me understand bio. If you want to learn something take his class.,"['whaley', 'good', 'professor', 'wonderful', 'time', 'class', 'helped', 'understand', 'bio', 'want', 'learn', 'something', 'take', 'class']"
Goood teacher.  Really knows his stuff.  Really wants you to learn.,"['goood', 'teacher', 'really', 'knows', 'stuff', 'really', 'wants', 'learn']"
I really enjoyed Dr. Whaley's class.  His way of teaching keeps you interested in the subject.  He genuinely cares about his students and wants them to learn as much as possible.  He does enjoy butterflies and if you can get him to talk about them it's worth you while.  what a great guy.,"['really', 'enjoyed', 'dr', 'whaley', 'class', 'way', 'teaching', 'keeps', 'interested', 'subject', 'genuinely', 'cares', 'students', 'wants', 'learn', 'much', 'possible', 'enjoy', 'butterflies', 'get', 'talk', 'worth', 'great', 'guy']"
"Very good teacher.  Please disregard comments made by people who probably shouldn't be in any kind of biology course.  His classes are tough, but they should be.  I'm glad I was able to take him.","['good', 'teacher', 'please', 'disregard', 'comments', 'made', 'people', 'probably', 'nt', 'kind', 'biology', 'course', 'classes', 'tough', 'glad', 'able', 'take']"
Dr. Whaley has only one thin on his mind...Swallowtail Butterfies.  He's the world's foremost authority on the subject.  But he has very little time or patience for first year Biology students.  He has no interest in making sure you understand the material (very disorganized) and heaven help you if you ask a question in his class.  Caveat emptor!!!,"['dr', 'whaley', 'one', 'thin', 'mind', 'swallowtail', 'butterfies', 'world', 'foremost', 'authority', 'subject', 'little', 'time', 'patience', 'first', 'year', 'biology', 'students', 'interest', 'making', 'sure', 'understand', 'material', 'disorganized', 'heaven', 'help', 'ask', 'question', 'class', 'caveat', 'emptor']"
I studied for countless hours and I still came out with a horrible grade. I went to class everytime and used every study method I could think of. If your not a genius don't expect to get a good grade in this class.,"['studied', 'countless', 'hours', 'still', 'came', 'horrible', 'grade', 'went', 'class', 'everytime', 'used', 'every', 'study', 'method', 'could', 'think', 'genius', 'nt', 'expect', 'get', 'good', 'grade', 'class']"
"This is a hard class, it is right up there is math 1050. I read the book and came to class and studed, I did well. no matter who you take this class from it will be hard","['hard', 'class', 'right', 'math', 'read', 'book', 'came', 'class', 'studed', 'well', 'matter', 'take', 'class', 'hard']"
ever seen the movie Waynes World&#63; skatter brained and half the time he doesnt know what he is talking about. the text book he uses sucks. take this class from another school. i wish bybee thaught this class. the lab is a joke! it reminds me of high school science projects.,"['ever', 'seen', 'movie', 'waynes', 'world', 'skatter', 'brained', 'half', 'time', 'doesnt', 'know', 'talking', 'text', 'book', 'uses', 'sucks', 'take', 'class', 'another', 'school', 'wish', 'bybee', 'thaught', 'class', 'lab', 'joke', 'reminds', 'high', 'school', 'science', 'projects']"
Dr. Whaley is a great teacher.  Very clear and helpful for Bio students yet he is tough on his tests.,"['dr', 'whaley', 'great', 'teacher', 'clear', 'helpful', 'bio', 'students', 'yet', 'tough', 'tests']"
"unorganized, apathetic, and basically didn't seem to enjoy or understand how to teach the class at all. The school should only employ him to do research because he is not qualified to teach","['unorganized', 'apathetic', 'basically', 'nt', 'seem', 'enjoy', 'understand', 'teach', 'class', 'school', 'employ', 'research', 'qualified', 'teach']"
Not very good. I would not recommend taking him.,"['good', 'would', 'recommend', 'taking']"
I thought he was a great teacher!,"['thought', 'great', 'teacher']"
"Avoid this guy, he's a fool. All these people who say &quot;you just have to read the book and you'll be fine&quot; are right, but thats always the case in every class. Find a different teacher who can actually teach you something.","['avoid', 'guy', 'fool', 'people', 'say', 'quot', 'read', 'book', 'fine', 'quot', 'right', 'thats', 'always', 'case', 'every', 'class', 'find', 'different', 'teacher', 'actually', 'teach', 'something']"
You must have missed class buddy. None of his lecture had anything to do with the test nor did we ever go over the tests. You are right about the tests being from the book but not as clearly as one would think.  Take this class elsewhere before coming,"['must', 'missed', 'class', 'buddy', 'none', 'lecture', 'anything', 'test', 'ever', 'go', 'tests', 'right', 'tests', 'book', 'clearly', 'one', 'would', 'think', 'take', 'class', 'elsewhere', 'coming']"
"I thought Dr. Whaleys class was very informative.  Those that complain probably never read their text, his exams are are a direct reflection of the text.  Do your part and you'll be fine.  Recommended.","['thought', 'dr', 'whaleys', 'class', 'informative', 'complain', 'probably', 'never', 'read', 'text', 'exams', 'direct', 'reflection', 'text', 'part', 'fine', 'recommended']"
No Comments,['comments']
What a moron!  I don't know where this guy acquired his degree but he can't teach.  Beware Bio at the U or the Y prior to coming here.  This teacher sucks!,"['moron', 'nt', 'know', 'guy', 'acquired', 'degree', 'ca', 'nt', 'teach', 'beware', 'bio', 'u', 'prior', 'coming', 'teacher', 'sucks']"
"Skatter-bained! Take chem before his class, you will have to correct him many times.  Don't recommend him! Can't teach, doesn't test on what he teaches, most class time is off topic.  No point to attend class! I acquired all my knowledge from the book.","['skatterbained', 'take', 'chem', 'class', 'correct', 'many', 'times', 'nt', 'recommend', 'ca', 'nt', 'teach', 'nt', 'test', 'teaches', 'class', 'time', 'topic', 'point', 'attend', 'class', 'acquired', 'knowledge', 'book']"
You're all a bunch of ****. He's a decent teacher at least you know what he is going to test you on before each test.,"['bunch', 'decent', 'teacher', 'least', 'know', 'going', 'test', 'test']"
"Unfortunately he is the only teacher for 2110! He is a terrible teacher. Nice guy, but doesn't know how to teach. Be sure to have at least some chemistry background because when he gets into that his students have to correct him a lot of the time!","['unfortunately', 'teacher', 'terrible', 'teacher', 'nice', 'guy', 'nt', 'know', 'teach', 'sure', 'least', 'chemistry', 'background', 'gets', 'students', 'correct', 'lot', 'time']"
"If you don't mind tangents, go ahead. Just be aware that if you ask too many questions on side issues, you just lost the day's lecture.","['nt', 'mind', 'tangents', 'go', 'ahead', 'aware', 'ask', 'many', 'questions', 'side', 'issues', 'lost', 'day', 'lecture']"
"Good Teacher, a bit erratic with a one-track mind.  Don't mind the spittle.","['good', 'teacher', 'bit', 'erratic', 'onetrack', 'mind', 'nt', 'mind', 'spittle']"
"easy, but you have to read your book!","['easy', 'read', 'book']"
I would never take this class-especially online. I have never seen someone who would never communicate with his students. I tried to contact him few times  and I gave up. I don't mind about lots of homework or whatever but he is one of the worst professors I have ever met in my entire life.,"['would', 'never', 'take', 'classespecially', 'online', 'never', 'seen', 'someone', 'would', 'never', 'communicate', 'students', 'tried', 'contact', 'times', 'gave', 'nt', 'mind', 'lots', 'homework', 'whatever', 'one', 'worst', 'professors', 'ever', 'met', 'entire', 'life']"
"I would not recommend taking this course online. The teacher has a very structured and organized course. As well as a bunch of lectures that took him some time to make, so props to him. However, the tests are very hard to understand. If you take this class... study study study. Go over every thing. Especially the Chem section...","['would', 'recommend', 'taking', 'course', 'online', 'teacher', 'structured', 'organized', 'course', 'well', 'bunch', 'lectures', 'took', 'time', 'make', 'props', 'however', 'tests', 'hard', 'understand', 'take', 'class', 'study', 'study', 'study', 'go', 'every', 'thing', 'especially', 'chem', 'section']"
"Took online. I hate his trick question quizzes and tests. I've gotten mostly 100% but I have to sit there for hours and analyze. He uses fancy vocab in his lectures with out defining his jargon words. He doesn't communicate at all with you through emails and such, not even if you use canvas. his links to learn more about concepts never work- EVER.","['took', 'online', 'hate', 'trick', 'question', 'quizzes', 'tests', 'gotten', 'mostly', 'sit', 'hours', 'analyze', 'uses', 'fancy', 'vocab', 'lectures', 'defining', 'jargon', 'words', 'nt', 'communicate', 'emails', 'even', 'use', 'canvas', 'links', 'learn', 'concepts', 'never', 'work', 'ever']"
I would not recommend taking this class online. It was very difficult for me to understand the lectures. He requires his students to take the final exam at the UVU testing center so you really need to know what is going on in the class if you want to get a good grade on the exam. For now on I will be taking my science classes in person.,"['would', 'recommend', 'taking', 'class', 'online', 'difficult', 'understand', 'lectures', 'requires', 'students', 'take', 'final', 'exam', 'uvu', 'testing', 'center', 'really', 'need', 'know', 'going', 'class', 'want', 'get', 'good', 'grade', 'exam', 'taking', 'science', 'classes', 'person']"
Be prepared to spend half a semester stroking the ego of Charles Darwin only to have no questions about him on the final. This class was horribly structured and after studying all online materials I could find for a bio 1010 final I walked out of the test blindsided by the 3000 level questions. Not to mention he never responds to emails.,"['prepared', 'spend', 'half', 'semester', 'stroking', 'ego', 'charles', 'darwin', 'questions', 'final', 'class', 'horribly', 'structured', 'studying', 'online', 'materials', 'could', 'find', 'bio', 'final', 'walked', 'test', 'blindsided', 'level', 'questions', 'mention', 'never', 'responds', 'emails']"
"If you're unlucky enough to get this course, GET THE OPTIONAL TEXTBOOK. The teaching model is poor, with ridiculously long reading assignments, and 3 question quizzes over the material (quizzes are 25% of final grade). The textbook helps to condense & explain the material. Some quiz material is not covered in the online videos. The textbook helps.","['unlucky', 'enough', 'get', 'course', 'get', 'optional', 'textbook', 'teaching', 'model', 'poor', 'ridiculously', 'long', 'reading', 'assignments', 'question', 'quizzes', 'material', 'quizzes', 'final', 'grade', 'textbook', 'helps', 'condense', 'explain', 'material', 'quiz', 'material', 'covered', 'online', 'videos', 'textbook', 'helps']"
"His tests are really difficult. I would study hard for them, visit him to ask additional questions, and would still get C's on his tests. This was the same story from my other classmates. He is a decent guy and you will learn A LOT. But you may struggle keeping your head above water during the semester  Consider taking Professor Bayer- Choose life!","['tests', 'really', 'difficult', 'would', 'study', 'hard', 'visit', 'ask', 'additional', 'questions', 'would', 'still', 'get', 'c', 'tests', 'story', 'classmates', 'decent', 'guy', 'learn', 'lot', 'may', 'struggle', 'keeping', 'head', 'water', 'semester', 'consider', 'taking', 'professor', 'bayer', 'choose', 'life']"
"There is no book, just random websites he assigns you to read from. Instead of basing the tests on the information from the websites, the tests are based off of Biology textbooks that we don't use. Because of that, the tests are VERY hard to study for.  Also, the final was really hard (no study guide). The class average was 51/110.","['book', 'random', 'websites', 'assigns', 'read', 'instead', 'basing', 'tests', 'information', 'websites', 'tests', 'based', 'biology', 'textbooks', 'nt', 'use', 'tests', 'hard', 'study', 'also', 'final', 'really', 'hard', 'study', 'guide', 'class', 'average']"
